movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0031679,Mr Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn''t back down.",1939,Comedy | Drama,2h 9min,English,Frank Capra,"James Stewart, Jean Arthur",/title/tt0031679/,tt0031679.jpg,mpJSB4Gbljc
tt0017925,The General,"When Union spies steal an engineer''s beloved locomotive, he pursues it single-handedly and straight through enemy lines.",1926,Action | Adventure | Comedy,1h 7min,English,Clyde Bruckman,"Buster Keaton, Marion Mack",/title/tt0017925/,tt0017925.jpg,7EcZPcFfjqY
tt0892769,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,Animation | Action | Adventure,1h 38min,English,Dean DeBlois,"Jay Baruchel, Gerard Butler",/title/tt0892769/,tt0892769.jpg,GfBHLVtbG6U
tt0112471,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1995,Drama | Romance,1h 41min,"English, German, French",Richard Linklater,"Ethan Hawke, Julie Delpy",/title/tt0112471/,tt0112471.jpg,25v7N34d5HE
tt0015324,Sherlock Jr,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend''s father''s pocketwatch.",1924,Action | Comedy | Romance,45min,English,Buster Keaton,"Buster Keaton, Kathryn McGuire",/title/tt0015324/,tt0015324.jpg,iWqs42Glpks
tt0060827,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,1966,Drama | Thriller,1h 25min,"Swedish, English",Ingmar Bergman,"Bibi Andersson, Liv Ullmann",/title/tt0060827/,tt0060827.jpg,Zz2RE4rBJHg
tt0264464,Catch Me If You Can,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars'' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",2002,Biography | Crime | Drama,2h 21min,"English, French",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",/title/tt0264464/,tt0264464.jpg,xas1UyTiVUw
tt1392214,Prisoners,"When Keller Dover''s daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,Crime | Drama | Mystery,2h 33min,English,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",/title/tt1392214/,tt1392214.jpg,bpXfcTF6iVk
tt2024544,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013,Biography | Drama | History,2h 14min,English,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",/title/tt2024544/,tt2024544.jpg,z02Ie8wKKRg
tt0061512,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1967,Crime | Drama,2h 7min,English,Stuart Rosenberg,"Paul Newman, George Kennedy",/title/tt0061512/,tt0061512.jpg,ofxtDrRVQY4
tt1392190,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,Action | Adventure | Sci-Fi,2h,"English, Russian",George Miller,"Tom Hardy, Charlize Theron",/title/tt1392190/,tt1392190.jpg,hEJnMQG9ev8
tt0046268,Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",1953,Adventure | Drama | Thriller,2h 11min,"French, English, Spanish, German, Italian, Russian",Henri-Georges Clouzot,"Yves Montand, Charles Vanel",/title/tt0046268/,tt0046268.jpg,ArwhGYrOWXA
tt0092005,Stand by Me,"After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",1986,Adventure | Drama,1h 29min,English,Rob Reiner,"Wil Wheaton, River Phoenix",/title/tt0092005/,tt0092005.jpg,jaiZ6ZQoO-Y
tt0074958,Network,A television network cynically exploits a deranged former anchor''s ravings and revelations about the news media for its own profit.,1976,Drama,2h 1min,English,Sidney Lumet,"Faye Dunaway, William Holden",/title/tt0074958/,tt0074958.jpg,1cSGvqQHpjs
tt0758758,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",2007,Adventure | Biography | Drama,2h 28min,"English, Danish",Sean Penn,"Emile Hirsch, Vince Vaughn",/title/tt0758758/,tt0758758.jpg,g7ArZ7VD-QQ
tt0079470,Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",1979,Comedy,1h 34min,"English, Latin",Terry Jones,"Graham Chapman, John Cleese",/title/tt0079470/,tt0079470.jpg,TKPmGjVFbrY
tt0091763,Platoon,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,1986,Drama | War,2h,"English, Vietnamese",Oliver Stone,"Charlie Sheen, Tom Berenger",/title/tt0091763/,tt0091763.jpg,hGsyEkfjhQk
tt0405159,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,2004,Drama | Sport,2h 12min,"English, Irish",Clint Eastwood,"Hilary Swank, Clint Eastwood",/title/tt0405159/,tt0405159.jpg,5_RsHRmIRBY
tt1028532,Hachi: A Dog''s Tale,A college professor bonds with an abandoned dog he takes into his home.,2009,Drama | Family,1h 33min,"English, Japanese",Lasse Hallström,"Richard Gere, Joan Allen",/title/tt1028532/,tt1028532.jpg,TIl2o1hm1F4
tt0019254,La passion de Jeanne d''Arc,"In 1431, Jeanne d''Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928,Biography | Drama | History,1h 50min,French,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",/title/tt0019254/,tt0019254.jpg,IQAchMdy__8
tt1979320,Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2013,Biography | Drama | Sport,2h 3min,"English, German, Italian, French, Spanish",Ron Howard,"Daniel Brühl, Chris Hemsworth",/title/tt1979320/,tt1979320.jpg,4XA73ni9eVs
tt0052618,Ben-Hur,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",1959,Adventure | Drama | History,3h 32min,English,William Wyler,"Charlton Heston, Jack Hawkins",/title/tt0052618/,tt0052618.jpg,3BmeR9GYdDU
tt3315342,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,Action | Drama | Sci-Fi,2h 17min,"English, Spanish",James Mangold,"Hugh Jackman, Patrick Stewart",/title/tt3315342/,tt3315342.jpg,Div0iP65aZo
tt0060107,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",1966,Biography | Drama | History,3h 25min,"Russian, Italian, Tatar",Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov",/title/tt0060107/,tt0060107.jpg,t1d5FSyMEd8
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort''s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011,Adventure | Drama | Fantasy,2h 10min,English,David Yates,"Daniel Radcliffe, Emma Watson",/title/tt1201607/,tt1201607.jpg,5NYt1qirBWg
tt0097165,Dead Poets Society,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,1989,Comedy | Drama,2h 8min,"English, Latin",Peter Weir,"Robin Williams, Robert Sean Leonard",/title/tt0097165/,tt0097165.jpg,4lj185DaZ_o
tt0405508,Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",2006,Comedy | Drama,2h 47min,"Hindi, Punjabi, English",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan",/title/tt0405508/,tt0405508.jpg,QHhnhqxB4E8
tt0053198,Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",1959,Crime | Drama,1h 39min,"French, English",François Truffaut,"Jean-Pierre Léaud, Albert Rémy",/title/tt0053198/,tt0053198.jpg,i89oN8v7RdY
tt0087544,Nausicaa of the Valley of the Wind ,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,1984,Animation | Adventure | Fantasy,1h 57min,Japanese,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura",/title/tt0087544/,tt0087544.jpg,6zhLBe319KE
tt0245712,Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life''s harsh realities, all in the name of love.",2000,Drama | Thriller,2h 34min,Spanish,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",/title/tt0245712/,tt0245712.jpg,A5HTBYR7m0o
tt0395169,Hotel Rwanda,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,2004,Biography | Drama | History,2h 1min,"English, French, Kinyarwanda",Terry George,"Don Cheadle, Sophie Okonedo",/title/tt0395169/,tt0395169.jpg,4dd8rX5Dy_Q
tt4016934,The Handmaiden,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",2016,Drama | Romance | Thriller,2h 25min,"Korean, Japanese",Chan-wook Park,"Min-hee Kim, Jung-woo Ha",/title/tt4016934/,tt4016934.jpg,whldChqCsYk
tt0032976,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat''s wife and avoiding being intimidated by his first wife''s spectral presence.,1940,Drama | Mystery | Romance,2h 10min,"English, French",Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",/title/tt0032976/,tt0032976.jpg,Z0gakRWZ03Y
tt0075148,Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,1976,Drama | Sport,2h,English,John G. Avildsen,"Sylvester Stallone, Talia Shire",/title/tt0075148/,tt0075148.jpg,pH1xTAnFE9M
tt0198781,"Monsters, Inc","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",2001,Animation | Adventure | Comedy,1h 32min,English,Pete Docter,"Billy Crystal, John Goodman",/title/tt0198781/,tt0198781.jpg,8IBNZ6O2kMk
tt0113247,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1995,Crime | Drama,1h 38min,French,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",/title/tt0113247/,tt0113247.jpg,NWrXQ8LsKYg
tt0025316,It Happened One Night,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,1934,Comedy | Romance,1h 45min,English,Frank Capra,"Clark Gable, Claudette Colbert",/title/tt0025316/,tt0025316.jpg,Kd509cLN-9U
tt0043338,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",1951,Drama | Film-Noir,1h 51min,"English, Spanish, Latin",Billy Wilder,"Kirk Douglas, Jan Sterling",/title/tt0043338/,tt0043338.jpg,x0Gsv5p5GdY
tt0040725,The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,1948,Drama | Music | Romance,2h 15min,"English, French, Russian",Michael Powell,"Anton Walbrook, Marius Goring",/title/tt0040725/,tt0040725.jpg,xRV6LPtRUyc
tt0093779,The Princess Bride,"While home sick in bed, a young boy''s grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",1987,Adventure | Family | Fantasy,1h 38min,English,Rob Reiner,"Cary Elwes, Mandy Patinkin",/title/tt0093779/,tt0093779.jpg,O3CIXEAjcc8
tt0118694,In the Mood for Love,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2000,Drama | Romance,1h 38min,"Cantonese, Shanghainese, French, Spanish",Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung",/title/tt0118694/,tt0118694.jpg,dWVDZ98AFhI
tt0381681,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse''s book tour.",2004,Drama | Romance,1h 20min,"English, French",Richard Linklater,"Ethan Hawke, Julie Delpy",/title/tt0381681/,tt0381681.jpg,oI3UuneLcyU
tt1454029,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids'' point of view on the white families for which they work, and the hardships they go through on a daily basis.",2011,Drama,2h 26min,English,Tate Taylor,"Emma Stone, Viola Davis",/title/tt1454029/,tt1454029.jpg,aT9eWGjLv6s
tt1954470,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",2012,Action | Comedy | Crime,5h 21min,Hindi,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha",/title/tt1954470/,tt1954470.jpg,j-AkWDkXcMY
tt0169102,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,2001,Adventure | Drama | Musical,3h 44min,"Hindi, English, Awadhi, Urdu",Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav",/title/tt0169102/,tt0169102.jpg,oSIGQ0YkFxs
tt0088247,The Terminator,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity''s future salvation.",1984,Action | Sci-Fi,1h 47min,"English, Spanish",James Cameron,"Arnold Schwarzenegger, Linda Hamilton",/title/tt0088247/,tt0088247.jpg,k64P4l2Wmeg
tt0087884,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",1984,Drama,2h 25min,"English, Spanish",Wim Wenders,"Harry Dean Stanton, Nastassja Kinski",/title/tt0087884/,tt0087884.jpg,9e590FeeGCM
tt0064115,Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",1969,Biography | Crime | Drama,1h 50min,"English, Spanish",George Roy Hill,"Paul Newman, Robert Redford",/title/tt0064115/,tt0064115.jpg,YdJW2UxvSFQ
tt0094625,Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,1988,Animation | Drama | Sci-Fi,2h 4min,Japanese,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki",/title/tt0094625/,tt0094625.jpg,QsCkty3mpg0
tt0103639,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1992,Animation | Adventure | Comedy,1h 30min,English,Ron Clements,"Scott Weinger, Robin Williams",/title/tt0103639/,tt0103639.jpg,foyufD52aog
tt4857264,Contratiempo,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.,2016,Crime | Mystery | Thriller,1h 46min,Spanish,Oriol Paulo,"Mario Casas, Ana Wagener",/title/tt4857264/,tt4857264.jpg,epCg2RbyF80
tt2338151,PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,2014,Comedy | Drama | Fantasy,2h 33min,"Hindi, English, Urdu, Persian, Kurdish",Rajkumar Hirani,"Aamir Khan, Anushka Sharma",/title/tt2338151/,tt2338151.jpg,SOXWc32k4zA
tt4430212,Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",2015,Crime | Drama | Mystery,2h 43min,Hindi,Nishikant Kamat,"Ajay Devgn, Shriya Saran",/title/tt4430212/,tt4430212.jpg,AuuX2j14NBg
tt2015381,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014,Action | Adventure | Comedy,2h 1min,English,James Gunn,"Chris Pratt, Vin Diesel",/title/tt2015381/,tt2015381.jpg,d96cjJhvlMA
tt0058946,La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",1966,Drama | War,2h 1min,"French, Arabic, English",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",/title/tt0058946/,tt0058946.jpg,Zgkj8eAVjwQ
tt0107048,Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,1993,Comedy | Fantasy | Romance,1h 41min,"English, French, Italian",Harold Ramis,"Bill Murray, Andie MacDowell",/title/tt0107048/,tt0107048.jpg,GncQtURdcE4
