movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0056058,Harakiri,"When a ronin requesting seppuku at a feudal lord''s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan''s integrity.",1962,Action | Drama | History,2h 13min,Japanese,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama",/title/tt0056058/,tt0056058.jpg,xjs3UBzq1Lo
tt0110357,The Lion King,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father''s death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",1994,Animation | Adventure | Drama,1h 28min,"English, Swahili, Xhosa, Zulu",Roger Allers,"Matthew Broderick, Jeremy Irons",/title/tt0110357/,tt0110357.jpg,7TavVZMewpY
tt0120586,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1998,Drama,1h 59min,English,Tony Kaye,"Edward Norton, Edward Furlong",/title/tt0120586/,tt0120586.jpg,XfQYHqsiN5g
tt0103064,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",1991,Action | Sci-Fi,2h 17min,"English, Spanish",James Cameron,"Arnold Schwarzenegger, Linda Hamilton",/title/tt0103064/,tt0103064.jpg,CRRlbK5w8AE
tt0088763,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1985,Adventure | Comedy | Sci-Fi,1h 56min,English,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",/title/tt0088763/,tt0088763.jpg,qvsgGtivCgs
tt0027977,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,Comedy | Drama | Family,1h 27min,English,Charles Chaplin,"Charles Chaplin, Paulette Goddard",/title/tt0027977/,tt0027977.jpg,GLeDdzGUTq0
tt0054215,Psycho,"A Phoenix secretary embezzles forty thousand dollars from her employer''s client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",1960,Horror | Mystery | Thriller,1h 49min,English,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",/title/tt0054215/,tt0054215.jpg,SDZCXPBYHY0
tt0172495,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,Action | Adventure | Drama,2h 35min,English,Ridley Scott,"Russell Crowe, Joaquin Phoenix",/title/tt0172495/,tt0172495.jpg,owK1qxDselE
tt0021749,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,Comedy | Drama | Romance,1h 27min,English,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",/title/tt0021749/,tt0021749.jpg,4zY1OLF31Wc
tt1675434,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,Biography | Comedy | Drama,1h 52min,"French, English",Olivier Nakache,"François Cluzet, Omar Sy",/title/tt1675434/,tt1675434.jpg,34WIbmXkewU
tt0407887,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,Crime | Drama | Thriller,2h 31min,"English, Cantonese",Martin Scorsese,"Leonardo DiCaprio, Matt Damon",/title/tt0407887/,tt0407887.jpg,iojhqm0JTW4
tt2582802,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student''s potential.,2014,Drama | Music,1h 46min,English,Damien Chazelle,"Miles Teller, J.K. Simmons",/title/tt2582802/,tt2582802.jpg,7d_jQycdQGo
tt0482571,The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006,Drama | Mystery | Sci-Fi,2h 10min,English,Christopher Nolan,"Christian Bale, Hugh Jackman",/title/tt0482571/,tt0482571.jpg,ijXruSzfGEc
tt0064116,Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,Western,2h 45min,"Italian, English, Spanish",Sergio Leone,"Henry Fonda, Charles Bronson",/title/tt0064116/,tt0064116.jpg,Yw-Av9BpC-w
tt7286456,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",2019,Crime | Drama | Thriller,2h 2min,English,Todd Phillips,"Joaquin Phoenix, Robert De Niro",/title/tt7286456/,tt7286456.jpg,#NAME?
